drugbank_id,drug_name,drug_type,gene_symbol,actions,in_liver_lcc
DB12695,Phenethyl Isothiocyanate,small molecule,ACTB,,True
DB12695,Phenethyl Isothiocyanate,small molecule,CYB5B,,True
DB12695,Phenethyl Isothiocyanate,small molecule,DIABLO,,True
DB12695,Phenethyl Isothiocyanate,small molecule,HNRNPF,,True
DB12695,Phenethyl Isothiocyanate,small molecule,HNRNPK,,True
DB12695,Phenethyl Isothiocyanate,small molecule,HSPA4,,True
DB12695,Phenethyl Isothiocyanate,small molecule,HSPB1,,True
DB12695,Phenethyl Isothiocyanate,small molecule,HSPE1,,True
DB12695,Phenethyl Isothiocyanate,small molecule,HSPH1,,True
DB12695,Phenethyl Isothiocyanate,small molecule,MT-ND1,,True
DB12695,Phenethyl Isothiocyanate,small molecule,NUDC,,True
DB12695,Phenethyl Isothiocyanate,small molecule,PSMA3,,True
DB12695,Phenethyl Isothiocyanate,small molecule,PSMC3,,True
DB12695,Phenethyl Isothiocyanate,small molecule,RANBP1,,True
DB12695,Phenethyl Isothiocyanate,small molecule,S100A10,,True
DB12695,Phenethyl Isothiocyanate,small molecule,SF3A3,,True
DB12695,Phenethyl Isothiocyanate,small molecule,SMARCE1,,True
DB12695,Phenethyl Isothiocyanate,small molecule,SUCLG2,,True
DB12695,Phenethyl Isothiocyanate,small molecule,TPM1,,True
DB12695,Phenethyl Isothiocyanate,small molecule,TPM3,,True
DB12695,Phenethyl Isothiocyanate,small molecule,TPM4,,True
DB12695,Phenethyl Isothiocyanate,small molecule,TUBA1A,,True
DB12695,Phenethyl Isothiocyanate,small molecule,TUBA4A,,True
DB12695,Phenethyl Isothiocyanate,small molecule,TUBB2A,,True
DB12695,Phenethyl Isothiocyanate,small molecule,TUBB4B,,True
DB12695,Phenethyl Isothiocyanate,small molecule,TXN,,True
DB12695,Phenethyl Isothiocyanate,small molecule,USP14,,True
DB12695,Phenethyl Isothiocyanate,small molecule,VCP,,True
DB12695,Phenethyl Isothiocyanate,small molecule,VIM,,True
DB12695,Phenethyl Isothiocyanate,small molecule,YWHAB,,True
DB12695,Phenethyl Isothiocyanate,small molecule,YWHAE,,True
DB12695,Phenethyl Isothiocyanate,small molecule,YWHAH,,True
DB12695,Phenethyl Isothiocyanate,small molecule,YWHAQ,,True
DB12695,Phenethyl Isothiocyanate,small molecule,YWHAZ,,True
DB12698,Ibalizumab,biotech,CXCR4,antagonist,True
DB12698,Ibalizumab,biotech,CD4,antagonist,True
DB12709,Tributyrin,small molecule,CASP3,activator,True
DB12713,Sotagliflozin,small molecule,SLC5A1,inhibitor,True
DB12715,MSX-122,small molecule,CXCR4,antagonist;partial antagonist,True
DB12719,Turofexorate isopropyl,small molecule,NR1H4,modulator,True
DB12720,Nivocasan,small molecule,CASP1,modulator,True
DB12730,Dolastatin 10,small molecule,TUBB2A,inhibitor,True
DB12731,Daporinad,small molecule,NAMPT,inhibitor,True
DB12739,Bindarit,small molecule,CCL2,inhibitor,True
DB12742,Amuvatinib,small molecule,PDGFRA,modulator,True
DB12742,Amuvatinib,small molecule,MET,,True
DB12745,GSK-690693,small molecule,AKT3,modulator,True
DB12750,N-omega-nitro-L-arginine methyl ester,small molecule,NOS3,inhibitor,True
DB12752,Bucindolol,small molecule,ADRB2,modulator,True
