dilirank_name,Z_mito,k_mito,Z_bile,k_bile,Z_reactive,k_reactive,Proposed_Mechanism,Max_Z_Mech,is_dili,tmc_prob,Mechanism_Declaration
Capmatinib hydrochloride,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.4839271250144348,Unexplained / Idiosyncratic
Captopril,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,1,0.5641216676612326,Unexplained / Idiosyncratic
Carbamazepine,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,1,0.708508306090857,Unexplained / Idiosyncratic
Carbinoxamine maleate,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.3465015344385375,Unexplained / Idiosyncratic
Carboprost tromethamine,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.4261934966536257,Unexplained / Idiosyncratic
Carfilzomib,-0.2560101785464095,0,-0.2038210654133459,0,-0.2439750182371333,0,Unexplained,-0.2038210654133459,1,0.4204192772683586,Unexplained / Idiosyncratic
Carglumic acid,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.2649200474116613,Unexplained / Idiosyncratic
Carisoprodol,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,0,0.3975396974548542,Unexplained / Idiosyncratic
Carvedilol,-0.4434226364971609,0,-0.3530284409487348,0,-0.4225771273642583,0,Unexplained,-0.3530284409487348,1,0.5778434481052959,Unexplained / Idiosyncratic
Cefaclor,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.6032362902028444,Unexplained / Idiosyncratic
Cefazolin sodium,-0.2956150909981073,0,-0.2353522939658232,0,-0.2817180849095055,0,Unexplained,-0.2353522939658232,1,0.7031425578993716,Unexplained / Idiosyncratic
Cefdinir,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,1,0.6508119386515848,Unexplained / Idiosyncratic
Cefepime hydrochloride,-0.2765225972187297,0,-0.2201519123028536,0,-0.2635231383473649,0,Unexplained,-0.2201519123028536,1,0.6706142914384645,Unexplained / Idiosyncratic
Cefixime,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.6067201503409478,Unexplained / Idiosyncratic
Cefoperazone sodium,-0.31354715319876,0,-0.249628804546565,0,-0.2988071523335984,0,Unexplained,-0.249628804546565,1,0.421483552418963,Unexplained / Idiosyncratic
Cefotaxime sodium,-0.376836779377964,0,-0.3000164848751395,0,-0.3591215030713894,0,Unexplained,-0.3000164848751395,1,0.8192730761720334,Unexplained / Idiosyncratic
Cefprozil,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,1,0.5289498439122569,Unexplained / Idiosyncratic
Ceftaroline fosamil,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.5844685366294057,Unexplained / Idiosyncratic
Ceftazidime,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,1,0.5619791373275587,Unexplained / Idiosyncratic
Ceftriaxone sodium,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,1,0.5822206809416594,Unexplained / Idiosyncratic
Cefuroxime sodium,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.604626629006784,Unexplained / Idiosyncratic
Celecoxib,-0.2765225972187297,0,-0.2201519123028536,0,-0.2635231383473649,0,Unexplained,-0.2201519123028536,1,0.7733493064834907,Unexplained / Idiosyncratic
Cephalexin,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,1,0.600580969791258,Unexplained / Idiosyncratic
Ceritinib,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.5835546678862172,Unexplained / Idiosyncratic
Cetirizine hydrochloride,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.2824081211673248,Unexplained / Idiosyncratic
Chloramphenicol,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,0,0.3995395868675232,Unexplained / Idiosyncratic
Chlorcyclizine hydrochloride,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.3436627490167921,Unexplained / Idiosyncratic
Chlordiazepoxide hydrochloride,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.5758636704167472,Unexplained / Idiosyncratic
Chlormezanone,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.5636504279895359,Unexplained / Idiosyncratic
Chlorothiazide,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,1,0.6344888353987218,Unexplained / Idiosyncratic
Chlorpheniramine maleate,-0.20903143546584,0,-0.1664192030310433,0,-0.1992047682223989,0,Unexplained,-0.1664192030310433,0,0.3479578501979616,Unexplained / Idiosyncratic
Chlorpromazine hydrochloride,-0.4789511878237443,0,-0.3813142974919903,0,-0.4564354645876384,0,Unexplained,-0.3813142974919903,1,0.7424775031442268,Unexplained / Idiosyncratic
Chlorpropamide,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.6235308813167874,Unexplained / Idiosyncratic
Chlorzoxazone,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.6133563431288749,Unexplained / Idiosyncratic
Cimetidine,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.5291388688074712,Unexplained / Idiosyncratic
Cinacalcet hydrochloride,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.4673698878729919,Unexplained / Idiosyncratic
Ciprofloxacin hydrochloride,-0.376836779377964,0,-0.3000164848751395,0,-0.3591215030713894,0,Unexplained,-0.3000164848751395,1,0.6568453409787648,Unexplained / Idiosyncratic
Cisplatin,-0.20903143546584,0,-0.1664192030310433,0,-0.1992047682223989,0,Unexplained,-0.1664192030310433,1,0.7411950503276944,Unexplained / Idiosyncratic
Cladribine,-0.3466394204147899,0,-0.2759750271819735,0,-0.3303437363217049,0,Unexplained,-0.2759750271819735,1,0.5998658189498978,Unexplained / Idiosyncratic
Clarithromycin,-0.20903143546584,0,-0.1664192030310433,0,-0.1992047682223989,0,Unexplained,-0.1664192030310433,1,0.6168483432951787,Unexplained / Idiosyncratic
Clevidipine,-0.20903143546584,0,-0.1664192030310433,0,-0.1992047682223989,0,Unexplained,-0.1664192030310433,0,0.5809459870278044,Unexplained / Idiosyncratic
Clindamycin hydrochloride,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.2822761602919033,Unexplained / Idiosyncratic
Clofibrate,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.6661490698394807,Unexplained / Idiosyncratic
Clomiphene citrate,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.6164773481972042,Unexplained / Idiosyncratic
