uniprot_id,gene_symbol
Q9NZK7,PLA2G2E
Q9NZQ7,CD274
Q9NZV8,KCND2
Q9P0X4,CACNA1I
Q9QNF7,TK
Q9UBK8,MTRR
Q9UBN7,HDAC6
Q9UBS5,GABBR1
Q9UDX3,SEC14L4
Q9UDX4,SEC14L3
Q9UGH3,SLC23A2
Q9UGI5,GAD65
Q9UGN5,PARP2
Q9UHC9,NPC1L1
Q9UHH9,SYK
Q9UHI7,SLC23A1
Q9UI33,SCN11A
Q9UJM8,HAO1
Q9UJT0,TUBE1
Q9UJT1,TUBD1
Q9UK17,KCND3
Q9UKG9,CROT
Q9UKV0,HDAC9
Q9UL51,HCN2
Q9UL62,CFB
Q9ULX7,UBE2C
Q9UM01,SLC7A7
Q9UM07,PADI4
Q9UM73,ALK
Q9UNQ0,ABCG2
Q9UPY5,SLC7A11
Q9UQD0,SCN8A
Q9UQQ2,SH2B3
Q9X6V3,pbpA
Q9X6W0,ponB
Q9Y210,TRPC6
Q9Y233,PDE10A
Q9Y271,CYSLTR1
Q9Y289,SLC5A6
Q9Y2D0,CA5B
Q9Y2I1,NISCH
Q9Y478,PRKAB1
Q9Y4U1,MMACHC
Q9Y5N1,HRH3
Q9Y5Y4,PTGDR2
Q9Y5Y6,ST14
Q9Y5Y9,SCN10A
Q9Y694,SLC22A7
Q9Y6F1,PARP3
Q9Y6L6,SLCO1B1
Q9Y6Y9,LY96
Q9ZK53,fldA
